TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,SALES
5606,12/05/18 19.10,228,Bakmi Godog Keju,30000
5606,12/05/18 19.10,334,Extra Kerupuk Putih,6000
5606,12/05/18 19.10,334,Extra Kerupuk Putih,6000
5606,12/05/18 19.10,230,Nasi Putih,7037
5606,12/05/18 19.10,230,Soto Ayam,30000
5606,12/05/18 19.10,413,Teh Tubruk,18000
5606,12/05/18 19.10,281,Teh Tubruk,12000
5607,12/05/18 21.58,283,Hot/Ice Lemon Tea,26000
5608,12/06/18 12.16,241,Nasi Putih,48000
5608,12/06/18 12.16,241,Nasi Putih,48000
5609,12/06/18 13.36,337,Extra Kerupuk Putih,6000
5609,12/06/18 13.36,306,Mineral Water,8000
5609,12/06/18 13.36,231,Nasi Goreng Jawa,34000
5609,12/06/18 13.36,236,Nasi Putih,7000
5609,12/06/18 13.36,233,Rawon,36000
5609,12/06/18 13.36,281,Teh Tubruk,12000
5610,12/06/18 15.15,228,Bakmi Godog Keju,30000
5610,12/06/18 15.15,334,Extra Kerupuk Putih,6000
5610,12/06/18 15.15,285,Mineral Water,26000
5610,12/06/18 15.15,236,Nasi Putih,7000
5610,12/06/18 15.15,236,Nasi Putih,7000
5610,12/06/18 15.15,258,Pisang Goreng,28000
5610,12/06/18 15.15,233,Rawon,36000
5610,12/06/18 15.15,343,Spaghetti Bolognese,135000
5610,12/06/18 15.15,413,Teh Tubruk,18000
5610,12/06/18 15.15,412,Teh Tubruk,18000
5610,12/06/18 15.15,412,Teh Tubruk,18000
5610,12/06/18 15.15,281,Teh Tubruk,12000
5610,12/06/18 15.15,302,Fresh Orange Juice,34000
5611,12/06/18 16.24,256,Pisang Goreng,24000
5611,12/06/18 16.24,257,Rawon,27000
5612,12/06/18 16.12,278,Kopi Tubruk,24000
5612,12/06/18 16.12,306,Mineral Water,8000
5612,12/06/18 16.12,306,Mineral Water,8000
5612,12/06/18 16.12,257,Rawon,27000
5613,12/06/18 17.13,263,Cappuccino,34000
5613,12/06/18 17.13,256,Pisang Goreng,24000
5614,12/06/18 20.57,228,Bakmi Godog Keju,30000
5614,12/06/18 20.57,228,Bakmi Godog Keju,30000
5614,12/06/18 20.57,228,Bakmi Godog Keju,30000
5614,12/06/18 20.57,229,Bakmi Goreng Jawa,35000
5614,12/06/18 20.57,229,Bakmi Goreng Jawa,35000
5614,12/06/18 20.57,410,Fresh Orange Juice,26000
5614,12/06/18 20.57,410,Fresh Orange Juice,26000
5614,12/06/18 20.57,303,Macchiato,18000
5614,12/06/18 20.57,236,Nasi Putih,7000
5614,12/06/18 20.57,256,Pisang Goreng,24000
5614,12/06/18 20.57,233,Rawon,36000
5614,12/06/18 20.57,413,Teh Tubruk,18000
5614,12/06/18 20.57,280,Teh Tubruk,29000
5615,12/06/18 20.14,262,Americano,29000
5615,12/06/18 20.14,257,Rawon,27000
5616,12/06/18 20.49,283,Hot/Ice Lemon Tea,26000
5617,12/06/18 21.15,336,Extra Kerupuk Putih,10000
5617,12/06/18 21.15,334,Extra Kerupuk Putih,6000
5617,12/06/18 21.15,334,Extra Kerupuk Putih,6000
5618,12/07/18 09.17,254,Pisang Goreng,28000
5618,12/07/18 09.17,255,Pisang Goreng,24000
5618,12/07/18 09.17,256,Pisang Goreng,24000
